time,FWI,tasmax,pr,sfcWind,scenario,h2o
2011,21.326603352777735,302.22055,5.004045,3.1387365,Historical to Present (1850-2015),0.017174555
2012,20.14218872820436,302.22656,5.3698235,3.1190166,Historical to Present (1850-2015),0.017224303
2013,20.689913957170088,302.37628,5.0620637,3.1090028,Historical to Present (1850-2015),0.01722689
2014,19.28716454535136,302.22272,5.2414203,3.0919101,Historical to Present (1850-2015),0.01720169
2015,18.273984225338786,302.1982,5.337668,3.120435,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01741098
2016,18.50414606482883,302.85,5.6860375,3.0163348,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01729265
2017,16.787779545224357,302.00906,4.9558234,3.0667098,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.016987456
2018,20.28919159299306,302.00296,4.4981627,3.2994225,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01706216
2019,27.389391115552577,303.2306,4.65763,3.1512432,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017306857
2020,23.33106504338698,302.98074,5.554347,3.155979,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017295817
2021,17.661706733846724,301.93686,5.8702865,3.1198485,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01750204
2022,22.212054552414784,302.67734,5.6578407,3.1190214,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017512633
2023,19.94811417449254,302.4608,6.2101536,2.9957762,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017520238
2024,14.231002043465443,302.51212,5.610177,2.9439633,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017520621
2025,16.142275893524275,302.3718,5.715763,3.032507,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017525924
2026,21.52681311515453,302.92795,6.193006,3.1386788,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017390309
2027,17.92038209624502,302.60104,5.14351,3.131853,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017702464
2028,22.35890511776842,303.15817,5.355224,2.9863884,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017487546
2029,22.24218033493808,302.44678,5.9959064,3.2160962,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017682176
2030,21.672422755337305,303.49353,4.897155,3.0683146,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017710835
2031,23.745627713905503,302.7626,5.72852,3.3216126,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01783084
2032,18.376510814003712,302.9503,5.6944604,3.1009312,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01764582
2033,20.99227125299861,302.7164,5.114259,3.2353013,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017749155
2034,26.40126498992546,303.76706,5.0176907,3.1998794,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017867655
2035,20.642585599049678,303.30032,5.8532295,3.1688087,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017932763
2036,24.10502995991536,302.8495,5.701281,3.1729362,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01784581
2037,25.531338427226178,303.52658,5.586335,3.0696259,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017913809
